ID,Scan page,Printed page,Category,Original OCR,Correction,Context (correction in [ ]),Occurrence of context,Flag,Note,Your decision (accept / reject / edit),Your text (if edit)
36,17,1,rubric mark (¶),•ff,,Day The Call to Worship. [] Let the Minister and all,,,,,
37,17,1,rubric mark (¶),IT,,"Son, and Holy Ghost. Amen. [] Let the Minister read one",,,,,
38,17,1,rubric mark (¶),IT,,"following Sentences, the People standing. [] If any church so desire",,,,,
39,17,1,drop capital,r^UR,OUR,may begin with the Sentences. [OUR] help is in the Name,1,,,,
40,17,1,punctuation/spacing,{Psalm,(Psalm,the sheep of His pasture. [(Psalm] xcv. 6: c. 3.) Seek,1,,,,
41,17,1,word,{Isaiah Iv.,(Isaiah lv.,"for He will abundantly pardon. [(Isaiah lv.] 6, 7.)",1,,,,
42,18,2,word,bath,hath,and plenteous in mercy. He [hath] not dealt with us after,1,,,,
43,18,2,punctuation/spacing,{Psalm,(Psalm,"cleanse us from all unrighteousness. [(Psalm] ciii. 8, 10: 1 St.",1,,,,
44,18,2,punctuation/spacing,St,St.,"(Psalm ciii. 8, 10: 1 [St.] John i. 9.) Seeing that",1,,,,
45,18,2,word,l,i.,"8, 10: 1 St. John [i.] 9.) Seeing that we have",1,,,,
46,18,2,rubric mark (¶),1,,"need. (Hebrews iv. 14, 16.) [] Then shall the Minister say,",,,,,
47,18,2,rubric mark (¶),IT,,"Minister say, Let us pray. [] Let the People reverently bow",,,,,
48,18,2,punctuation/spacing,following/,following,"he will one of the [following] Prayers: The Invocation. ALMIGHTY God,",1,,,,
49,18,2,drop capital,A LMIGHTY,ALMIGHTY,"the following Prayers: The Invocation. [ALMIGHTY] God, who of Thy great",1,,,,
50,18,2,drop capital,INTERNAL,ETERNAL,"Jesus Christ our Lord. Amen. [ETERNAL] God, our Maker and our",1,,,,
51,18,2,drop capital,T ORD,LORD,"Jesus Christ our Lord. Amen. [LORD] God of heaven and earth,",1,,,,
52,19,3,word,r\,O,"Jesus Christ our Lord. Amen. [O] GOD, who hast promised that",1,,,,
53,19,3,drop capital,A LMIGHTY,ALMIGHTY,"Jesus Christ our Lord. Amen. [ALMIGHTY] Lord and everlasting God, whom",1,,,,
54,19,3,rubric mark (¶),IF,,Amen. The Confession of Sins. [] The People may say this,,,,,
55,19,3,drop capital,IVTOST,MOST,this Confession with the Minister: [MOST] holy and merciful Father; We,1,,,,
56,19,3,word,Sou,Son,the sake of Thy dear [Son] our Saviour. And O most,1,,,,
57,19,3,punctuation/spacing,"Lord,",Lord.,commandments of Jesus Christ our [Lord.] Amen.,1,,,,
58,20,4,rubric mark (¶),H,,The Assurance of Pardon. [] To be said by the,,,,,
59,20,4,word,he,be,"The Assurance of Pardon. To [be] said by the Minister, the",1,,,,
60,20,4,word,boiving,bowing,"the Minister, the People still [bowing] down. ALMIGHTY God, who doth",1,,,,
61,20,4,drop capital,A LMIGHTY,ALMIGHTY,"the People still bowing down. [ALMIGHTY] God, who doth freely pardon",1,,,,
62,20,4,word,tlie,the,fulfil in every contrite heart [the] promise of redeeming grace; remitting,1,,,,
63,20,4,rubric mark (¶),1[,,and the Holy Ghost. Amen. [] Or this: GOD so loved,,,,,
64,20,4,drop capital,/^OD,GOD,"Holy Ghost. Amen. Or this: [GOD] so loved the world, that",1,,,,
65,20,4,punctuation/spacing,belie veth,believeth,"His only-begotten Son, that whosoever [believeth] in Him should not perish,",1,,,,
66,20,4,punctuation/spacing,life..,life.,"not perish, but have everlasting [life.] Hear the gracious words of",1,,,,
67,20,4,word,cometli,cometh,give you rest. Him that [cometh] to Me I will in,1,,,,
68,20,4,word,A?nen. H,Amen.,Christ be with you all. [Amen.] Then let the Minister and,1,,,,
69,20,4,word,Ansicer.,Answer.,bless the Lord our God: [Answer.] And praise His glorious Name.,1,,,,
70,20,4,punctuation/spacing,'praise,praise,Lord our God: Answer. And [praise] His glorious Name. Minister. O,1,,,,
71,20,4,word,Anszcer.,Answer.,"Lord, for He is good: [Answer.] For His mercy endureth for",1,,,,
72,20,4,punctuation/spacing,endurethfor e'ver.,endureth for ever.,good: Answer. For His mercy [endureth for ever.] The Psalter. Then let a,1,,,,
73,20,4,rubric mark (¶),T,,endureth for ever. The Psalter. [] Then let a portion of,,,,,
74,21,5,rubric mark (¶),IF,,[] The People being seated shall,,,,,
75,21,5,word,Holt,Holy,The Public Reading of the [Holy] Scriptures. Let the Minister read,1,,,,
76,21,5,rubric mark (¶),IT,,Reading of the Holy Scriptures. [] Let the Minister read from,,,,,
77,21,5,word,"x>^ofitable,","profitable,","as is most proper and [profitable,] that from the Old Testament",1,,,,
78,21,5,word,jilaces,places,"Testament may be followed, in [places] where there are choirs, by",1,,,,
79,21,5,rubric mark (¶),t,,of an Anthem or Response. [] Before each reading let the,,,,,
80,21,5,word,sa7j.,"say,","each reading let the Minister [say,] Hear the Holy Scripture as",1,,,,
81,21,5,punctuation/spacing,reading.,"reading,","a book: and after the [reading,] The Lord bless to us",1,,,,
82,21,5,word,t //,If,reading of His Holy Word. [If] the Old Testament reading be,1,,,,
83,21,5,rubric mark (¶),t,,Christ. A Hymn of Praise. [] Here let the People stand,,,,,
84,21,5,word,xvith,with,stand up and praise God [with] the spirit and with the,1,,,,
85,21,5,word,"imder standing,","understanding,","the spirit and with the [understanding,] making melody with their voices",1,,,,
86,21,5,word,tvith,with,"with the understanding, making melody [with] their voices as well as",1,,,,
87,21,5,word,tvith,with,"their voices as well as [with] their hearts, unto the Lord.",1,,,,
88,21,5,word,T,I,Confession of Faith. The Creed. [I] BELIEVE in God the Father,1,,,,
89,21,5,punctuation/spacing,"-""-and",and,"Father Almighty, Maker of heaven [and] earth: And in Jesus Christ",1,,,,
90,21,5,punctuation/spacing,heaven.,"heaven,","the dead; He ascended into [heaven,] And sitteth on the right",1,,,,
91,21,5,rubric mark (¶),IT,,"and the Life everlasting. Amen. [] Then shall the Minister say,",,,,,
92,22,6,word,IT A7id,And,"[And] the People, reverently bowing down,",1,,,,
93,22,6,word,boiving,bowing,"And the People, reverently [bowing] down, shall follow in their",1,,,,
94,22,6,word,folloiv,follow,"People, reverently bowing down, shall [follow] in their hearts The General",1,,,,
95,22,6,word,"Prayer, IF",Prayer.,"in their hearts The General [Prayer.] The Minister, leading the People",,,,,
96,22,6,word,"particnlar, S2nrittial","particular, spiritual","of every kind, general and [particular, spiritual] and temporal, common and special;",1,,,,
97,22,6,word,supx)ly,supply,through Him. Supplications: for the [supply] of all our needs temporal,1,,,,
98,22,6,word,/or i/ie,for the,our duties and trials: Intercessions: [for the] whole world of mankind; remembering,1,,,,
99,22,6,word,ivdrld,world,trials: Intercessions: for the whole [world] of mankind; remembering especially our,1,,,,
100,22,6,word,ovr,our,world of mankind; remembering especially [our] country and all who are,1,,,,
101,22,6,word,tvith,with,the Church Universal and that [with] which we are particularly connected;,1,,,,
102,22,6,word,inissionaries,missionaries,we are particularly connected; all [missionaries] and ministers of the Gospel;,1,,,,
103,22,6,word,ivho,who,the Gospel; and all others [who] are seeking to do good,1,,,,
104,22,6,word,o7i,on,are seeking to do good [on] earth; all poor and sick,1,,,,
105,22,6,word,"sorroivful jyeople,","sorrowful people,","all poor and sick and [sorrowful people,] (especially those for whom our",1,,,,
106,22,6,word,rvhom,whom,"sorrowful people, (especially those for [whom] our prayers are asked;) all",1,,,,
107,22,6,punctuation/spacing,asked; ),asked;),for whom our prayers are [asked;)] all little children and the,1,,,,
108,22,6,rubric mark (¶),IT,,ties of kinship or affection: [] In any or all of,,,,,
109,22,6,word,carefidly,carefully,of Prayers. Or he may [carefully] order his thoughts and compose,1,,,,
110,22,6,word,tvhat,what,"petitions of the People, remembering [what] is suitable and necessary for",1,,,,
111,22,6,punctuation/spacing,"end,",end,their Common Worship. At the [end] of the General Prayer the,1,,,,
112,22,6,word,Grveral,General,At the end of the [General] Prayer the Minister and People,1,,,,
113,22,6,drop capital,/^UR,OUR,"Lord's Prayer. The Lord's Prayer. [OUR] Father which art in heaven,",1,,,,
114,22,6,punctuation/spacing,earth.,"earth,","Thy will be done in [earth,] As it is in heaven.",1,,,,
115,22,6,punctuation/spacing,debts.,"debts,","bread. And forgive us our [debts,] As we forgive our debtors.",1,,,,
116,23,7,rubric mark (¶),II,,The Offering. [] The bringing of offerings for,,,,,
117,23,7,punctuation/spacing,Worship),Worship.,"performed as an Act of [Worship.] Let the Minister, having made",1,,,,
118,23,7,word,7nade,made,"Worship. Let the Minister, having [made] such Announcements as are needful",1,,,,
119,23,7,punctuation/spacing,say.,"say,","are needful and fitting, then [say,] Let us make our Offering",1,,,,
120,23,7,rubric mark (¶),TI,,one proper for the occasion. [] When the gifts are brought,,,,,
121,23,7,word,chiirch-offlcers tvho,church-officers who,"Prayer for His blessing; the [church-officers who] have gathered the gifts standing,",1,,,,
122,23,7,word,bowiny,bowing,"gifts standing, and the congregation [bowing] down. On special occasions the",1,,,,
123,23,7,rubric mark (¶),H,,and the congregation bowing down. [] On special occasions the Offering,,,,,
124,23,7,word,r\,O,"Sermon. A Prayer of Dedication. [O] GOD, most merciful and gracious,",1,,,,
125,23,7,word,"Amen, IT",Amen.,Lord and Saviour Jesus Christ. [Amen.] Then let the People stand,1,,,,
126,23,7,word,ana,and,"incite them to Christian faith [and] duty, shall preach The Sermon.",1,,,,
127,23,7,rubric mark (¶),IT,,"duty, shall preach The Sermon. [] The Sermon being ended, let",,,,,
128,23,7,rubric mark (¶),IT,,"up and sing A Hymn. [] Then shall the Minister say,",,,,,
129,23,7,punctuation/spacing,say.,"say,","Hymn. Then shall the Minister [say,] Let us pray.",1,,,,
130,24,8,rubric mark (¶),H,,[] Then let the People reverently,,,,,
131,24,8,word,Pkayer. r\,Prayer. O,"the following as The Closing [Prayer. O] GOD, the Protector of all",,,,,
132,24,8,word,r\,O,"Christ's sake, our Lord. Amen. [O] LORD, the Author of spiritual",1,,,,
133,24,8,word,tkrougn,through,the beginning of life eternal; [through] Jesus Christ our Lord. Amen.,1,,,,
134,24,8,word,r\,O,"Jesus Christ our Lord. Amen. [O] GOD, who hast sounded in",1,,,,
135,24,8,drop capital,l\/f OST,MOST,"Jesus Christ our Lord. Amen. [MOST] merciful God, we beseech Thee",1,,,,
136,24,8,word,uf^,"us,","beseech Thee to grant unto [us,] that we may earnestly desire,",1,,,,
137,24,8,word,f\,O,"glory of Thy Name. Amen. [O] GOD, who art the Author",1,,,,
138,24,8,word,Am^n.,Amen.,of Jesus Christ our Lord. [Amen.],3,,,,
139,25,9,drop capital,A LMIGHTY,ALMIGHTY,"[ALMIGHTY] God, who hast given us",1,,,,
140,25,9,punctuation/spacing,![,,to come life everlasting. Amen. [] The People remaining in the,,,,,
141,25,9,drop capital,T^HE,THE,Minister shall pronounce The Benediction. [THE] grace of the Lord Jesus,1,,,,
142,25,9,rubric mark (¶),H,,be with you all. Amen. [] Or this: THE peace of,,,,,
143,25,9,drop capital,'pHE,THE,"you all. Amen. Or this: [THE] peace of God, which passeth",1,,,,
144,25,9,word,Clirist,Christ,and of His Son Jesus [Christ] our Lord; and the blessing,1,,,,
145,25,9,rubric mark (¶),If,,remain with you always. Amen. [] After the Benediction it is,,,,,
146,25,9,rubric mark (¶),IT,,His House without a blessing. [] Note that the last Hymn,,,,,
147,26,10,word,THE ORDER OF EVENING SERVICE ON THE LORD'S DAY. If,The Order of Evening Service on the Lord's Day,"[The Order of Evening Service on the Lord's Day] Let a Hymn be sung,",1,,,,
148,26,10,word,folio iving,following,"one or more of the [following] Sentences. GRACE be unto you,",1,,,,
149,26,10,drop capital,r^RACE,GRACE,"more of the following Sentences. [GRACE] be unto you, and peace,",1,,,,
150,26,10,punctuation/spacing,"Christ,",Christ.,and from the Lord Jesus [Christ.] (1 Corinthians i. 3.) Thus,1,,,,
151,26,10,word,{Isaiah Ivii.,(Isaiah lvii.,"heart of the contrite ones. [(Isaiah lvii.] 15.) The hour cometh, and",1,,,,
152,26,10,punctuation/spacing,{St.,(St.,"in spirit and in truth. [(St.] John iv. 23, 24.) Let",1,,,,
153,26,10,word,34.),24.),"truth. (St. John iv. 23, [24.)] Let my prayer be set",1,,,,
154,26,10,punctuation/spacing,{Psalm,(Psalm,hands as the evening sacrifice. [(Psalm] cxli. 2.) O worship the,1,,,,
155,26,10,punctuation/spacing,{Psalm,(Psalm,"before Him, all the earth. [(Psalm] xcvi. 9.) Let the words",1,,,,
156,26,10,punctuation/spacing,{Psalm,(Psalm,"my strength and my redeemer. [(Psalm] xix. 14.) Ask, and it",1,,,,
157,26,10,word,{St. Mattheic,(St. Matthew,"knocketh it shall be opened. [(St. Matthew] vii. 7, 8.)",1,,,,
158,27,11,punctuation/spacing,{Lamentations,(Lamentations,the soul that seeketh Him. [(Lamentations] iii. 25.) And the Spirit,1,,,,
159,27,11,word,tliat,that,"say, Come. And let him [that] heareth say, Come. And let",1,,,,
160,27,11,word,whosovever,whosoever,"that is athirst come. And [whosoever] will, let him take the",1,,,,
161,27,11,word,{Bevelation,(Revelation,the water of life freely. [(Revelation] xxii. 17.) I will arise,1,,,,
162,27,11,word,DO,no,"and before thee, and am [no] more worthy to be called",1,,,,
163,27,11,punctuation/spacing,{St.,(St.,"to be called thy son. [(St.] Luke xv. 18, 19.) Then",1,,,,
164,27,11,rubric mark (¶),IT,,"(St. Luke xv. 18, 19.) [] Then let the Minister say,",,,,,
165,27,11,rubric mark (¶),H,,"Minister say, Let us pray. [] Let the People reverently bow",,,,,
166,27,11,word,iising,using,"in the Invocation and Confession, [using] if he will one of",1,,,,
167,27,11,word,f\,O,"Prayers: The Invocation and Confession. [O] GOD, the Father of lights,",1,,,,
168,27,11,punctuation/spacing,us.,"us,","to look in mercy upon [us,] Thy sinful and wayward children:",1,,,,
169,27,11,drop capital,"""PATERNAL",ETERNAL,"through Christ our Lord. Amen. [ETERNAL] God, in whom we live",1,,,,
170,28,12,drop capital,A LMIGHTY,ALMIGHTY,"[ALMIGHTY] and most merciful God, who",1,,,,
171,28,12,word,bast,hast,"and most merciful God, who [hast] appointed our portion of labour,",1,,,,
172,28,12,punctuation/spacing,w^hile,while,that we may serve Thee [while] it is day; and by,1,,,,
173,28,12,heading (re-cased),"Cometh,","cometh,","ordinance the weariness of night [cometh,] that we may seek our",1,,,,
174,28,12,word,r\,O,"Jesus Christ our Lord. Amen. [O] GOD, Light of the hearts",1,,,,
175,28,12,rubric mark (¶),H,,"Jesus Christ, our Lord. Amen. [] The Prayer may close with",,,,,
176,28,12,word,Scbipture.,"Scripture,","with these Petitions of Holy [Scripture,] to be said responsively by",1,,,,
177,28,12,word,doum.,down.,"Minister and People, still bowing [down.] Create in us a clean",1,,,,
178,28,12,word,tcithin,within,And renew a right spirit [within] us. Cast us not away,1,,,,
179,28,12,rubric mark (¶),H,,Thy praise. Amen. The Psalter. [] Then let a portion of,,,,,
180,28,12,word,he,be,"a portion of the Psalter [be] chanted, or read, responsively by",2,,,,
181,28,12,punctuation/spacing,sing.,"sing,","end let all say or [sing,] Glory be to the Father,",1,,,,
182,29,13,rubric mark (¶),t,,"[] Or else, the Gloria in",,,,,
183,29,13,word,folio ua: r^ LORY,follows: GLORY,the Gloria in Excelsis as [follows: GLORY] be to God on high:,1,,,,
184,29,13,word,0,O,"art the Lord. Thou only, [O] Christ, with the Holy Ghost:",1,,,,
185,29,13,rubric mark (¶),•II,,"of God the Father. Amen. [] Note that, if any church",,,,,
186,29,13,rubric mark (¶),IT,,Reading of the Holy Scriptures. [] The People being seated shall,,,,,
187,29,13,punctuation/spacing,book •.,book:,a chapter of such a [book:] and after the reading he,1,,,,
188,29,13,punctuation/spacing,say.,"say,","after the reading he shall [say,] The Lord bless to us",1,,,,
189,29,13,rubric mark (¶),^,,"reading of His Holy Word. [] After the reading of Scripture,",,,,,
190,29,13,rubric mark (¶),. IT,,"or Hymn may be sung. [] Then let the Minister say,",,,,,
191,30,14,rubric mark (¶),t,,"[] And the People, reverently bowing",,,,,
192,30,14,rubric mark (¶),H,,"their hearts The General Prayer. [] The Minister, leading the People",,,,,
193,30,14,word,ojj'er U7ito,offer unto,"in their Common Prayers, shall [offer unto] God such Adorations and Thanksgivings;",1,,,,
194,30,14,word,"me7i,","men,","the State, and for all [men,] especially for those who are",1,,,,
195,30,14,word,tvho,who,"all men, especially for those [who] are out of Christ and",1,,,,
196,30,14,word,"xvill,","will,","this Service. And if he [will,] he may use any of",1,,,,
197,30,14,punctuation/spacing,"""of",of,"(under the title of Treasury [of] Prayers), or those here following:",1,,,,
198,30,14,word,r\,O,"Prayers), or those here following: [O] GOD, in glory exalted, and",1,,,,
199,30,14,word,r\,O,"Jesus Christ our Lord. Amen. [O] LORD of heaven and earth,",1,,,,
200,30,14,word,maj^,may,"peace and good works, and [may] turn many to righteousness through",1,,,,
201,30,14,drop capital,A LMIGHTY,ALMIGHTY,"and Saviour Jesus Christ. Amen. [ALMIGHTY] God, who hast heard the",1,,,,
202,30,14,word,wiio,who,"Jesus Christ. Amen. ALMIGHTY God, [who] hast heard the prayer of",1,,,,
203,31,15,punctuation/spacing,and',and,"the Governor of the State, [and] all law-makers and judges: that",1,,,,
204,31,15,word,r\,O,"Jesus Christ our Lord. Amen. [O] GOD, Creator and Preserver of",1,,,,
205,31,15,word,r\,O,"our Lord Jesus Christ. Amen. [O] ALMIGHTY Lord, and everlasting God,",1,,,,
206,31,15,drop capital,T IGHTEN,LIGHTEN,"and Saviour Jesus Christ. Amen. [LIGHTEN] our darkness, we beseech Thee,",1,,,,
207,31,15,word,"Sou,","Son,","the love of Thy only [Son,] our Saviour, Jesus Christ. Amen.",1,,,,
208,31,15,drop capital,l^OW,NOW,close with the following Ascription: [NOW] unto Him that is able,1,,,,
209,32,16,rubric mark (¶),IT,,"and ever. Amen. The Offering. [] Let the Minister, having made",,,,,
210,32,16,word,tlie,the,to Almighty God for (naming [the] cause). If the choir sing,2,,,,
211,32,16,punctuation/spacing,'with,with,shall dedicate them to God [with] a brief prayer for His,1,,,,
212,32,16,punctuation/spacing,churchofficers,church-officers,prayer for His blessing; the [church-officers] who have gathered the gifts,1,,,,
213,32,16,word,U Oil,On,and the congregation bowing down. [On] special occasions the Offering may,2,,,,
214,32,16,drop capital,A LL,ALL,"Sermon. A Prayer of Dedication. [ALL] gracious God, who of Thine",1,,,,
215,32,16,word,wlio,who,"of Dedication. ALL gracious God, [who] of Thine infinite love didst",1,,,,
216,32,16,word,Tliine,Thine,"ALL gracious God, who of [Thine] infinite love didst give Thine",1,,,,
217,32,16,word,ouly-begotten,only-begotten,"infinite love didst give Thine [only-begotten] Son, Jesus Christ, to die",1,,,,
218,32,16,word,vehich,which,Holy Spirit; Accept the Offering [which] we now present unto Thee:,1,,,,
219,32,16,rubric mark (¶),U,,Jesus Christ our Lord. Amen. [] Then let the People stand,,,,,
220,32,16,word,np,up,Then let the People stand [up] and sing A Hymn. Then,2,,,,
221,32,16,rubric mark (¶),U,,"up and sing A Hymn. [] Then the Minister, taking his",,,,,
222,32,16,rubric mark (¶),^,,"duty, shall preach The Sermon. [] The Sermon being ended, let",,,,,
223,32,16,rubric mark (¶),II,,"up and sing A Hymn. [] Then shall the Minister say,",,,,,
224,33,17,rubric mark (¶),t,,"[] The People reverently bowing down,",,,,,
225,33,17,drop capital,"r^ RANT,","GRANT,","Lord's Prayer: The Closing Prayer. [GRANT,] we beseech Thee, Almighty God,",1,,,,
226,33,17,punctuation/spacing,strength ened,strengthened,"guided into all truth, and [strengthened] unto all obedience and enduring",1,,,,
227,33,17,word,r\,O,"Jesus Christ our Lord. Amen. [O] LORD Jesus Christ, who hast",1,,,,
228,33,17,punctuation/spacing,"OGOD,","O GOD,","Jesus Christ our Lord. Amen. [O GOD,] from whom all holy desires,",1,,,,
229,33,17,drop capital,INTERNAL,ETERNAL,"Jesus Christ our Saviour. Amen. [ETERNAL] and ever-blessed God, who art",1,,,,
230,33,17,punctuation/spacing,A men.,Amen.,of our Lord Jesus Christ. [Amen.],1,,,,
231,34,18,punctuation/spacing,OLORD,O LORD,"[O LORD] God, the Light of the",1,,,,
232,34,18,word,aud,and,"Strength of those who labour, [and] the Repose of the blessed",1,,,,
233,34,18,rubric mark (¶),IT,,Lord. Amen. The Lord's Prayer. [] To be said by Minister,,,,,
234,34,18,punctuation/spacing,earth.,"earth,","Thy will be done in [earth,] As it is in heaven.",2,,,,
235,34,18,punctuation/spacing,debts.,"debts,","bread. And forgive us our [debts,] As we forgive our debtors.",2,,,,
236,34,18,rubric mark (¶),^,,"the glory, for ever. Amen. [] The People remaining in the",,,,,
237,34,18,drop capital,^HE,THE,Minister shall pronounce The Benediction. [THE] grace of the Lord Jesus,2,,,,
238,34,18,rubric mark (¶),U,,be with you all. Amen. [] Or this: THE peace of,,,,,
239,34,18,drop capital,IT^HE,THE,"you all. Amen. Or this: [THE] peace of God, which passeth",2,,,,
240,34,18,punctuation/spacing,passethall,passeth all,"THE peace of God, which [passeth all] understanding, keep your hearts and",2,,,,
241,34,18,heading (re-cased),son,Son,"of God, and of His [Son] Jesus Christ our Lord; and",2,,,,
242,34,18,rubric mark (¶),IT,,remain with you always. Amen. [] After the Benediction it is,,,,,
243,34,18,word,"prni/er,oeseecliing","prayer, beseeching","and People remain in silent [prayer, beseeching] God that none may leave",2,,,,
244,34,18,rubric mark (¶),H,,His House without a blessing. [] Note that the last Hymn,,,,,
245,35,19,heading (re-cased/corrected),BRIEF ORDER OF WORSHIP. IT,Brief Order of Worship,A [Brief Order of Worship] This Service is intended for,1,,,,
246,35,19,rubric mark (¶),^,,"the Gospel is not present. [] If it be desired, the",,,,,
247,35,19,word,MOKNING. rpHE,Morning. THE,from the Holy Scriptures. Sentences. [Morning. THE] Lord is nigh unto all,,,,,
248,36,20,heading (re-cased/corrected),EVENING. H E,Evening. HE,[Evening. HE] that dwelleth in the secret,,,,,
249,36,20,rubric mark (¶),1,,"the day is far spent. [] Then shall he say, Let",,,,,
250,36,20,rubric mark (¶),U,,"he say, Let us pray. [] Let all the company bow",,,,,
251,36,20,word,"boiv doicn,","bow down,","pray. Let all the company [bow down,] following the Prayer in their",1,,,,
252,36,20,word,CoxrESSiON OF,Confession of,"desire, joining audibly in the [Confession of] Sins and the Lord's Prayer.",1,,,,
253,36,20,drop capital,A LMIGHTY,ALMIGHTY,"and the Lord's Prayer. Prayers. [ALMIGHTY] God, unto whom all hearts",1,,,,
254,36,20,word,ly/rOST,MOST,through Christ our Lord. Amen. [MOST] holy and merciful Father; We,1,,,,
255,36,20,word,oHenses,offenses,And all our shortcomings and [offenses] against Thee. Thou alone knowest,2,,,,
256,37,21,punctuation/spacing,Father:,Father;,O most holy and loving [Father;] Send Thy purifying grace into,2,,,,
257,37,21,drop capital,QUR,OUR,"Jesus Christ our Lord. Amen. [OUR] Father which art in heaven,",1,,,,
258,37,21,punctuation/spacing,debts.,"debts,","bread. And forgive us our [debts,] As we forgive our debtors.",3,,,,
259,37,21,rubric mark (¶),IF,,for ever. Amen. The Psalter. [] A portion of the Psalter,,,,,
260,37,21,drop capital,r^LORY,GLORY,"responsively, closing with this Ascription: [GLORY] be to the Father, and",1,,,,
261,37,21,rubric mark (¶),U,,"be: world without end. Amen. [] Let all the company, standing,",,,,,
262,37,21,word,T,I,repeat together The Apostles' Creed. [I] BELIEVE in God the Father,1,,,,
263,37,21,word,MaTier,Maker,"in God the Father Almighty, [Maker] of heaven and earth: And",2,,,,
264,37,21,punctuation/spacing,hell;],hell; ],and buried; [He descended into [hell; ]] The third day He rose,,,,,
265,37,21,word,riglit,right,"heaven, And sitteth on the [right] hand of God the Father",2,,,,
266,38,22,word,op,of,The Reading [of] the Holy Scriptures. The Leader,1,,,,
267,38,22,rubric mark (¶),H,,Reading of the Holy Scriptures. [] The Leader shall choose and,,,,,
268,38,22,word,saymg be/ore,saying before,"or lessons, from the Bible, [saying before] he reads, Let us listen",1,,,,
269,38,22,punctuation/spacing,,——,it is written in the [——] chapter of ——; and after,1,,,,
270,38,22,punctuation/spacing,of;,of ——;,written in the —— chapter [of ——;] and after the reading he,1,,,,
271,38,22,word,ofler,after,"—— chapter of ——; and [after] the reading he shall say,",1,,,,
272,38,22,punctuation/spacing,say.,"say,","after the reading he shall [say,] May God bless, to all",1,,,,
